Pollster,Lab,Con,LD,Other,nsize,date,na,rcon,rlab,rld,roth,time
Ipsos MORI,38,33,23,6,1164,2005-05-04,FALSE,33.2,36.2,22.7,7.9,-10912
Populus,38,32,21,8,1174,2005-05-03,FALSE,33.2,36.2,22.7,7.9,-10911
ICM,38,32,22,8,1178,2005-05-03,FALSE,33.2,36.2,22.7,7.9,-10911
Populus,41,27,23,9,866,2005-05-02,FALSE,33.2,36.2,22.7,7.9,-10910
Populus,42,29,21,8,863,2005-04-30,FALSE,33.2,36.2,22.7,7.9,-10908
Populus,40,31,22,7,853,2005-04-28,FALSE,33.2,36.2,22.7,7.9,-10906
Populus,40,31,21,8,841,2005-04-27,FALSE,33.2,36.2,22.7,7.9,-10905
ICM,40,32,21,5,1209,2005-04-26,FALSE,33.2,36.2,22.7,7.9,-10904
Populus,40,31,21,8,835,2005-04-26,FALSE,33.2,36.2,22.7,7.9,-10904
Populus,40,31,21,8,831,2005-04-25,FALSE,33.2,36.2,22.7,7.9,-10903
Populus,41,33,19,7,819,2005-04-24,FALSE,33.2,36.2,22.7,7.9,-10902
Populus,41,32,20,7,798,2005-04-23,FALSE,33.2,36.2,22.7,7.9,-10901
Populus,41,33,20,6,798,2005-04-22,FALSE,33.2,36.2,22.7,7.9,-10900
Populus,40,33,20,7,806,2005-04-21,FALSE,33.2,36.2,22.7,7.9,-10899
Populus,39,34,20,7,836,2005-04-20,FALSE,33.2,36.2,22.7,7.9,-10898
ICM,39,33,22,7,1163,2005-04-19,FALSE,33.2,36.2,22.7,7.9,-10897
Populus,39,33,21,7,863,2005-04-19,FALSE,33.2,36.2,22.7,7.9,-10897
Populus,40,31,21,8,586,2005-04-17,FALSE,33.2,36.2,22.7,7.9,-10895
ICM,39,33,22,7,1169,2005-04-12,FALSE,33.2,36.2,22.7,7.9,-10890
ICM,37,34,21,8,973,2005-04-03,FALSE,33.2,36.2,22.7,7.9,-10881
Populus,37,35,19,9,812,2005-04-03,FALSE,33.2,36.2,22.7,7.9,-10881
ICM,40,32,20,7,716,2005-03-20,FALSE,33.2,36.2,22.7,7.9,-10867
Populus,39,32,20,9,831,2005-03-06,FALSE,33.2,36.2,22.7,7.9,-10853
ICM,37,34,21,8,1013,2005-02-20,FALSE,33.2,36.2,22.7,7.9,-10839
Populus,41,32,18,9,814,2005-02-06,FALSE,33.2,36.2,22.7,7.9,-10825
ICM,38,31,21,9,1000,2005-01-23,FALSE,33.2,36.2,22.7,7.9,-10811
Populus,38,33,20,9,848,2005-01-09,FALSE,33.2,36.2,22.7,7.9,-10797
ICM,40,31,21,7,1002,2004-12-19,FALSE,33.2,36.2,22.7,7.9,-10776
Populus,37,33,20,10,826,2004-12-05,FALSE,33.2,36.2,22.7,7.9,-10762
ICM,38,30,22,10,830,2004-11-14,FALSE,33.2,36.2,22.7,7.9,-10741
ICM,37,31,23,9,1011,2004-10-24,FALSE,33.2,36.2,22.7,7.9,-10720
YouGov,36,34,21,9,2033,2004-09-23,FALSE,33.2,36.2,22.7,7.9,-10689
ICM,36,32,22,10,1005,2004-09-19,FALSE,33.2,36.2,22.7,7.9,-10685
Populus,31,30,26,13,608,2004-09-05,FALSE,33.2,36.2,22.7,7.9,-10671
ICM,36,33,22,9,1005,2004-08-15,FALSE,33.2,36.2,22.7,7.9,-10650
Populus,32,32,24,12,570,2004-08-01,FALSE,33.2,36.2,22.7,7.9,-10636
ICM,35,30,25,10,1007,2004-07-18,FALSE,33.2,36.2,22.7,7.9,-10622
Populus,33,29,24,14,556,2004-07-03,FALSE,33.2,36.2,22.7,7.9,-10607
Ipsos MORI,32,27,22,19,966,2004-06-20,FALSE,33.2,36.2,22.7,7.9,-10594
ICM,34,31,22,13,1009,2004-06-13,FALSE,33.2,36.2,22.7,7.9,-10587
Populus,31,29,22,18,589,2004-06-06,FALSE,33.2,36.2,22.7,7.9,-10580
ICM,39,34,20,7,1001,2004-05-23,FALSE,33.2,36.2,22.7,7.9,-10566
Populus,32,36,22,10,578,2004-05-09,FALSE,33.2,36.2,22.7,7.9,-10552
ICM,38,33,22,6,1002,2004-04-18,FALSE,33.2,36.2,22.7,7.9,-10531
ICM,37,35,21,7,1014,2004-03-11,FALSE,33.2,36.2,22.7,7.9,-10493
Populus,36,34,22,8,573,2004-03-07,FALSE,33.2,36.2,22.7,7.9,-10489
ICM,36,34,21,8,1006,2004-02-22,FALSE,33.2,36.2,22.7,7.9,-10475
Populus,36,31,25,8,580,2004-02-08,FALSE,33.2,36.2,22.7,7.9,-10461
ICM,39,34,20,7,1007,2004-01-18,FALSE,33.2,36.2,22.7,7.9,-10440
Populus,40,35,18,7,566,2004-01-04,FALSE,33.2,36.2,22.7,7.9,-10426
ICM,38,33,21,8,1001,2003-12-14,FALSE,33.2,36.2,22.7,7.9,-10405
Populus,35,33,22,10,557,2003-12-07,FALSE,33.2,36.2,22.7,7.9,-10398
ICM,38,33,21,8,1002,2003-11-16,FALSE,33.2,36.2,22.7,7.9,-10377
Populus,35,31,24,10,554,2003-11-09,FALSE,33.2,36.2,22.7,7.9,-10370
ICM,38,33,21,8,1004,2003-10-19,FALSE,33.2,36.2,22.7,7.9,-10349
Populus,36,28,27,9,524,2003-10-05,FALSE,33.2,36.2,22.7,7.9,-10335
YouGov,31,32,30,7,2306,2003-09-25,FALSE,33.2,36.2,22.7,7.9,-10325
ICM,35,30,28,8,1002,2003-09-21,FALSE,33.2,36.2,22.7,7.9,-10321
Populus,37,35,20,8,511,2003-09-06,FALSE,33.2,36.2,22.7,7.9,-10306
ICM,37,32,22,9,1001,2003-08-17,FALSE,33.2,36.2,22.7,7.9,-10286
Populus,35,33,25,7,564,2003-08-03,FALSE,33.2,36.2,22.7,7.9,-10272
YouGov,34,37,22,7,2219,2003-07-24,FALSE,33.2,36.2,22.7,7.9,-10262
ICM,36,34,22,9,1003,2003-07-20,FALSE,33.2,36.2,22.7,7.9,-10258
ICM,38,34,21,7,1001,2003-06-22,FALSE,33.2,36.2,22.7,7.9,-10230
Populus,36,34,21,9,513,2003-06-15,FALSE,33.2,36.2,22.7,7.9,-10223
ICM,42,29,21,8,1000,2003-05-18,FALSE,33.2,36.2,22.7,7.9,-10195
Populus,35,34,23,8,565,2003-03-04,FALSE,33.2,36.2,22.7,7.9,-10120
YouGov,40,32,21,7,2390,2003-04-24,FALSE,33.2,36.2,22.7,7.9,-10171
ICM,42,30,21,7,1000,2003-04-19,FALSE,33.2,36.2,22.7,7.9,-10166
YouGov,40,33,20,7,2282,2003-03-27,FALSE,33.2,36.2,22.7,7.9,-10143
Populus,42,29,22,7,540,2003-03-12,FALSE,33.2,36.2,22.7,7.9,-10128
ICM,38,32,24,6,1002,2003-03-16,FALSE,33.2,36.2,22.7,7.9,-10132
Populus,34,34,24,8,498,2003-03-09,FALSE,33.2,36.2,22.7,7.9,-10125
ICM,39,31,22,8,1003,2003-02-16,FALSE,33.2,36.2,22.7,7.9,-10104
Populus,35,34,25,6,555,2003-02-09,FALSE,33.2,36.2,22.7,7.9,-10097
YouGov,36,32,24,8,1949,2003-01-30,FALSE,33.2,36.2,22.7,7.9,-10087
ICM,43,30,21,6,1002,2003-01-19,FALSE,33.2,36.2,22.7,7.9,-10076
Populus,38,31,25,6,565,2003-01-05,FALSE,33.2,36.2,22.7,7.9,-10062
ICM,41,27,23,8,1006,2002-12-15,FALSE,33.2,36.2,22.7,7.9,-10041
ICM,42,29,22,7,1000,2002-11-17,FALSE,33.2,36.2,22.7,7.9,-10013
ICM,43,32,20,6,1001,2002-10-20,FALSE,33.2,36.2,22.7,7.9,-9985
Populus,42,30,21,6,1001,2002-10-13,FALSE,33.2,36.2,22.7,7.9,-9978
ICM,39,34,20,7,1000,2002-09-22,FALSE,33.2,36.2,22.7,7.9,-9957
Populus,39,33,21,6,610,2002-09-07,FALSE,33.2,36.2,22.7,7.9,-9942
ICM,41,32,21,6,1003,2002-08-25,FALSE,33.2,36.2,22.7,7.9,-9929
ICM,42,33,20,4,1002,2002-07-27,FALSE,33.2,36.2,22.7,7.9,-9900
ICM,42,32,20,7,1002,2002-06-23,FALSE,33.2,36.2,22.7,7.9,-9866
ICM,42,34,19,5,1003,2002-05-19,FALSE,33.2,36.2,22.7,7.9,-9831
ICM,45,29,18,8,1000,2002-04-21,FALSE,33.2,36.2,22.7,7.9,-9803
ICM,43,34,17,6,1001,2002-03-17,FALSE,33.2,36.2,22.7,7.9,-9768
ICM,47,30,18,5,1003,2002-02-17,FALSE,33.2,36.2,22.7,7.9,-9740
ICM,45,30,19,6,1003,2002-01-20,FALSE,33.2,36.2,22.7,7.9,-9712
ICM,44,29,20,7,1000,2001-12-16,FALSE,33.2,36.2,22.7,7.9,-9677
ICM,46,29,19,6,1004,2001-11-18,FALSE,33.2,36.2,22.7,7.9,-9649
ICM,47,29,19,5,1000,2001-10-20,FALSE,33.2,36.2,22.7,7.9,-9620
ICM,46,29,20,5,1007,2001-09-16,FALSE,33.2,36.2,22.7,7.9,-9586
ICM,46,30,17,7,1004,2001-08-19,FALSE,33.2,36.2,22.7,7.9,-9558
ICM,46,30,18,6,1001,2001-07-14,FALSE,33.2,36.2,22.7,7.9,-9522
Ipsos MORI,50,27,17,6,1021,2001-06-01,FALSE,33.2,36.2,22.7,7.9,-9479
Ipsos MORI,29,36,27,8,1216,2010-05-05,FALSE,36.9,29.7,23.6,9.8,-12735
YouGov,28,35,28,9,6483,2010-05-05,FALSE,36.9,29.7,23.6,9.8,-12735
Harris Interactive,29,35,27,7,4014,2010-05-05,FALSE,36.9,29.7,23.6,9.8,-12735
Populus,28,37,27,8,2505,2010-05-05,FALSE,36.9,29.7,23.6,9.8,-12735
Angus Reid,24,36,29,11,2283,2010-05-05,FALSE,36.9,29.7,23.6,9.8,-12735
Opinium,27,35,26,12,1383,2010-05-05,FALSE,36.9,29.7,23.6,9.8,-12735
ComRes,28,37,28,7,1025,2010-05-05,FALSE,36.9,29.7,23.6,9.8,-12735
ICM,28,36,26,10,1527,2010-05-04,FALSE,36.9,29.7,23.6,9.8,-12734
YouGov,30,35,24,11,1461,2010-05-04,FALSE,36.9,29.7,23.6,9.8,-12734
Kantar,27,33,29,11,1864,2010-05-04,FALSE,36.9,29.7,23.6,9.8,-12734
Harris Interactive,26,36,28,10,786,2010-05-04,FALSE,36.9,29.7,23.6,9.8,-12734
ComRes,29,37,26,8,1024,2010-05-03,FALSE,36.9,29.7,23.6,9.8,-12733
YouGov,28,35,28,9,1455,2010-05-03,FALSE,36.9,29.7,23.6,9.8,-12733
Opinium,28,33,27,12,1870,2010-05-03,FALSE,36.9,29.7,23.6,9.8,-12733
YouGov,28,34,29,9,1475,2010-05-02,FALSE,36.9,29.7,23.6,9.8,-12732
ComRes,29,37,26,8,1024,2010-05-02,FALSE,36.9,29.7,23.6,9.8,-12732
ICM,28,33,28,12,1026,2010-05-02,FALSE,36.9,29.7,23.6,9.8,-12732
YouGov,27,35,28,10,1483,2010-05-01,FALSE,36.9,29.7,23.6,9.8,-12731
ComRes,28,38,25,9,1019,2010-05-01,FALSE,36.9,29.7,23.6,9.8,-12731
YouGov,28,34,28,10,1412,2010-04-30,FALSE,36.9,29.7,23.6,9.8,-12730
ICM,29,36,27,8,1019,2010-04-30,FALSE,36.9,29.7,23.6,9.8,-12730
Angus Reid,23,35,29,13,1874,2010-04-30,FALSE,36.9,29.7,23.6,9.8,-12730
YouGov,27,34,28,11,1623,2010-04-29,FALSE,36.9,29.7,23.6,9.8,-12729
YouGov,27,34,31,8,1530,2010-04-28,FALSE,36.9,29.7,23.6,9.8,-12728
YouGov,29,33,28,10,1598,2010-04-27,FALSE,36.9,29.7,23.6,9.8,-12727
ComRes,29,36,26,9,1006,2010-04-27,FALSE,36.9,29.7,23.6,9.8,-12727
Populus,27,36,28,8,1510,2010-04-27,FALSE,36.9,29.7,23.6,9.8,-12727
Kantar,27,34,30,9,2078,2010-04-27,FALSE,36.9,29.7,23.6,9.8,-12727
YouGov,28,33,29,10,1491,2010-04-26,FALSE,36.9,29.7,23.6,9.8,-12726
ComRes,29,33,29,9,1005,2010-04-26,FALSE,36.9,29.7,23.6,9.8,-12726
Opinium,25,34,28,13,1942,2010-04-26,FALSE,36.9,29.7,23.6,9.8,-12726
Angus Reid,23,33,30,14,2433,2010-04-26,FALSE,36.9,29.7,23.6,9.8,-12726
Harris Interactive,25,32,30,13,1678,2010-04-26,FALSE,36.9,29.7,23.6,9.8,-12726
YouGov,28,34,30,8,1466,2010-04-25,FALSE,36.9,29.7,23.6,9.8,-12725
ComRes,28,32,31,9,1003,2010-04-25,FALSE,36.9,29.7,23.6,9.8,-12725
ICM,28,33,30,8,1031,2010-04-25,FALSE,36.9,29.7,23.6,9.8,-12725
YouGov,27,35,28,9,1412,2010-04-24,FALSE,36.9,29.7,23.6,9.8,-12724
ComRes,28,34,29,9,1006,2010-04-24,FALSE,36.9,29.7,23.6,9.8,-12724
ICM,26,35,31,8,1020,2010-04-23,FALSE,36.9,29.7,23.6,9.8,-12723
Ipsos MORI,30,36,23,11,1245,2010-04-23,FALSE,36.9,29.7,23.6,9.8,-12723
YouGov,29,34,29,8,1381,2010-04-23,FALSE,36.9,29.7,23.6,9.8,-12723
YouGov,29,34,28,9,1576,2010-04-22,FALSE,36.9,29.7,23.6,9.8,-12722
YouGov,27,33,31,9,1545,2010-04-21,FALSE,36.9,29.7,23.6,9.8,-12721
YouGov,26,31,34,9,1595,2010-04-20,FALSE,36.9,29.7,23.6,9.8,-12720
Angus Reid,23,32,33,12,1953,2010-04-20,FALSE,36.9,29.7,23.6,9.8,-12720
ComRes,25,35,27,13,1015,2010-04-20,FALSE,36.9,29.7,23.6,9.8,-12720
Populus,28,32,31,9,1501,2010-04-20,FALSE,36.9,29.7,23.6,9.8,-12720
Ipsos MORI,28,32,32,8,1253,2010-04-20,FALSE,36.9,29.7,23.6,9.8,-12720
Kantar,29,34,30,7,1953,2010-04-20,FALSE,36.9,29.7,23.6,9.8,-12720
ComRes,26,35,26,13,1012,2010-04-19,FALSE,36.9,29.7,23.6,9.8,-12719
YouGov,27,33,31,8,1509,2010-04-19,FALSE,36.9,29.7,23.6,9.8,-12719
Opinium,26,32,29,13,1957,2010-04-19,FALSE,36.9,29.7,23.6,9.8,-12719
Angus Reid,24,32,32,12,2004,2010-04-19,FALSE,36.9,29.7,23.6,9.8,-12719
Harris Interactive,26,31,30,13,1792,2010-04-19,FALSE,36.9,29.7,23.6,9.8,-12719
ComRes,28,32,28,12,1003,2010-04-18,FALSE,36.9,29.7,23.6,9.8,-12718
YouGov,26,32,33,8,1433,2010-04-18,FALSE,36.9,29.7,23.6,9.8,-12718
ICM,28,33,30,9,1024,2010-04-18,FALSE,36.9,29.7,23.6,9.8,-12718
YouGov,30,33,29,8,1490,2010-04-17,FALSE,36.9,29.7,23.6,9.8,-12717
ComRes,27,31,29,13,1006,2010-04-17,FALSE,36.9,29.7,23.6,9.8,-12717
YouGov,28,33,30,9,1290,2010-04-16,FALSE,36.9,29.7,23.6,9.8,-12716
ComRes,28,35,24,13,4032,2010-04-15,FALSE,36.9,29.7,23.6,9.8,-12715
ICM,29,34,27,10,1033,2010-04-15,FALSE,36.9,29.7,23.6,9.8,-12715
YouGov,31,37,22,10,1490,2010-04-15,FALSE,36.9,29.7,23.6,9.8,-12715
YouGov,32,41,18,9,1578,2010-04-14,FALSE,36.9,29.7,23.6,9.8,-12714
ComRes,29,35,21,15,1001,2010-04-13,FALSE,36.9,29.7,23.6,9.8,-12713
YouGov,31,39,20,9,1583,2010-04-13,FALSE,36.9,29.7,23.6,9.8,-12713
Harris Interactive,27,36,23,14,1523,2010-04-13,FALSE,36.9,29.7,23.6,9.8,-12713
Kantar,33,36,22,9,1916,2010-04-13,FALSE,36.9,29.7,23.6,9.8,-12713
Populus,33,36,21,9,1525,2010-04-12,FALSE,36.9,29.7,23.6,9.8,-12712
ComRes,31,36,19,14,1002,2010-04-12,FALSE,36.9,29.7,23.6,9.8,-12712
Angus Reid,28,38,22,12,2006,2010-04-12,FALSE,36.9,29.7,23.6,9.8,-12712
YouGov,33,39,20,8,1493,2010-04-12,FALSE,36.9,29.7,23.6,9.8,-12712
Opinium,31,39,17,13,1825,2010-04-12,FALSE,36.9,29.7,23.6,9.8,-12712
ComRes,30,37,20,13,1004,2010-04-11,FALSE,36.9,29.7,23.6,9.8,-12711
YouGov,31,37,20,12,1455,2010-04-11,FALSE,36.9,29.7,23.6,9.8,-12711
ICM,31,37,20,11,1024,2010-04-11,FALSE,36.9,29.7,23.6,9.8,-12711
YouGov,32,40,18,10,1431,2010-04-10,FALSE,36.9,29.7,23.6,9.8,-12710
ComRes,32,39,16,13,1001,2010-04-10,FALSE,36.9,29.7,23.6,9.8,-12710
YouGov,30,40,20,10,1527,2010-04-09,FALSE,36.9,29.7,23.6,9.8,-12709
Harris Interactive,27,37,22,14,1012,2010-04-08,FALSE,36.9,29.7,23.6,9.8,-12708
YouGov,31,40,18,11,1626,2010-04-08,FALSE,36.9,29.7,23.6,9.8,-12708
ICM,30,38,21,10,1032,2010-04-07,FALSE,36.9,29.7,23.6,9.8,-12707
YouGov,32,37,19,12,1484,2010-04-07,FALSE,36.9,29.7,23.6,9.8,-12707
Angus Reid,26,37,22,14,2193,2010-04-07,FALSE,36.9,29.7,23.6,9.8,-12707
Populus,32,39,21,8,1507,2010-04-06,FALSE,36.9,29.7,23.6,9.8,-12706
YouGov,32,40,17,11,1456,2010-04-06,FALSE,36.9,29.7,23.6,9.8,-12706
Harris Interactive,28,37,20,15,2080,2010-04-06,FALSE,36.9,29.7,23.6,9.8,-12706
YouGov,31,41,18,11,1620,2010-04-05,FALSE,36.9,29.7,23.6,9.8,-12705
Opinium,29,39,17,15,1903,2010-04-05,FALSE,36.9,29.7,23.6,9.8,-12705
ICM,33,37,21,9,1001,2010-04-03,FALSE,36.9,29.7,23.6,9.8,-12703
YouGov,29,39,20,12,1503,2010-04-02,FALSE,36.9,29.7,23.6,9.8,-12702
Angus Reid,27,38,20,15,1991,2010-04-01,FALSE,36.9,29.7,23.6,9.8,-12701
YouGov,31,39,19,11,1552,2010-04-01,FALSE,36.9,29.7,23.6,9.8,-12701
ICM,29,38,23,10,1003,2010-03-31,FALSE,36.9,29.7,23.6,9.8,-12700
YouGov,32,38,19,11,1615,2010-03-31,FALSE,36.9,29.7,23.6,9.8,-12700
Angus Reid,28,37,22,13,2013,2010-03-31,FALSE,36.9,29.7,23.6,9.8,-12700
YouGov,31,38,19,12,1681,2010-03-30,FALSE,36.9,29.7,23.6,9.8,-12699
Kantar,33,38,19,10,1819,2010-03-30,FALSE,36.9,29.7,23.6,9.8,-12699
YouGov,32,39,18,11,1614,2010-03-29,FALSE,36.9,29.7,23.6,9.8,-12698
Opinium,28,38,18,16,1780,2010-03-29,FALSE,36.9,29.7,23.6,9.8,-12698
Harris Interactive,27,37,19,17,1133,2010-03-29,FALSE,36.9,29.7,23.6,9.8,-12698
ComRes,30,37,20,13,1001,2010-03-28,FALSE,36.9,29.7,23.6,9.8,-12697
YouGov,32,37,19,13,1533,2010-03-26,FALSE,36.9,29.7,23.6,9.8,-12695
ICM,31,39,19,11,1003,2010-03-25,FALSE,36.9,29.7,23.6,9.8,-12694
YouGov,33,37,18,12,1483,2010-03-25,FALSE,36.9,29.7,23.6,9.8,-12694
YouGov,34,36,17,13,1554,2010-03-24,FALSE,36.9,29.7,23.6,9.8,-12693
YouGov,33,37,18,12,1756,2010-03-23,FALSE,36.9,29.7,23.6,9.8,-12692
YouGov,32,36,20,12,1560,2010-03-22,FALSE,36.9,29.7,23.6,9.8,-12691
Ipsos MORI,30,35,21,14,1503,2010-03-22,FALSE,36.9,29.7,23.6,9.8,-12691
Opinium,30,37,15,18,1975,2010-03-22,FALSE,36.9,29.7,23.6,9.8,-12691
Harris Interactive,28,35,17,20,2117,2010-03-22,FALSE,36.9,29.7,23.6,9.8,-12691
YouGov,31,38,19,13,1547,2010-03-19,FALSE,36.9,29.7,23.6,9.8,-12688
ICM,32,38,19,10,1002,2010-03-18,FALSE,36.9,29.7,23.6,9.8,-12687
YouGov,32,36,20,12,1671,2010-03-18,FALSE,36.9,29.7,23.6,9.8,-12687
YouGov,32,36,20,11,1676,2010-03-17,FALSE,36.9,29.7,23.6,9.8,-12686
Angus Reid,26,39,21,15,2003,2010-03-16,FALSE,36.9,29.7,23.6,9.8,-12685
YouGov,32,37,19,12,1460,2010-03-16,FALSE,36.9,29.7,23.6,9.8,-12685
Harris Interactive,28,36,18,18,1934,2010-03-16,FALSE,36.9,29.7,23.6,9.8,-12685
YouGov,32,37,21,10,1466,2010-03-15,FALSE,36.9,29.7,23.6,9.8,-12684
Opinium,28,39,16,17,1951,2010-03-15,FALSE,36.9,29.7,23.6,9.8,-12684
ICM,31,40,20,9,1002,2010-03-14,FALSE,36.9,29.7,23.6,9.8,-12683
YouGov,33,37,17,12,1507,2010-03-12,FALSE,36.9,29.7,23.6,9.8,-12681
ICM,31,38,21,10,1007,2010-03-11,FALSE,36.9,29.7,23.6,9.8,-12680
YouGov,34,37,17,12,1434,2010-03-11,FALSE,36.9,29.7,23.6,9.8,-12680
YouGov,32,37,17,14,1473,2010-03-10,FALSE,36.9,29.7,23.6,9.8,-12679
